mjd,mag,mag_err,UL,filter,detected
55927.56,18.6977,0.09,False,r,1
55932.45,18.9591,0.03,False,z,1
55932.49,18.9291,0.03,False,z,1
55941.43,17.9277,0.06,False,r,1
55946.44,18.2687,0.01,False,g,1
55948.52,18.0577,0.07,False,r,1
55961.54,18.9011,0.02,False,i,1
55961.55,18.9511,0.02,False,i,1
55969.56,18.9077,0.1,False,r,1
55971.07,21.4749,0.26,False,UVW1,1
55971.07,22.2933,0.26,False,UVW2,1
55971.71,21.2049,0.38,False,UVW1,1
55971.71,21.956,0.19,False,UVM2,1
55978.05,19.2607,0.07,False,i,1
55978.05,19.2677,0.09,False,r,1
55978.05,19.4206,0.12,False,z,1
55978.05,19.7568,0.03,False,g,1
55980.56,19.2977,0.1,False,r,1
55981.02,19.3677,0.04,False,r,1
55981.02,19.9268,0.05,False,g,1
55987.48,19.6877,0.14,False,r,1
56000.89,20.0007,0.08,False,i,1
56000.89,19.8206,0.09,False,z,1
56000.89,20.8968,0.07,False,g,1
56000.89,20.1077,0.07,False,r,1
56005.86,20.1977,0.07,False,r,1
56005.86,21.0368,0.06,False,g,1
56006.9,20.0306,0.14,False,z,1
56006.9,20.1207,0.05,False,i,1
56006.9,20.2077,0.05,False,r,1
56006.9,21.0368,0.07,False,g,1
56009.89,20.2977,0.03,False,r,1
56009.89,21.1168,0.08,False,g,1
56010.88,20.2407,0.12,False,i,1
56010.88,20.1506,0.09,False,z,1
56010.88,21.1268,0.09,False,g,1
56010.88,20.3377,0.08,False,r,1
56015.86,20.3607,0.08,False,i,1
56015.86,20.4177,0.07,False,r,1
56015.86,20.2706,0.01,False,z,1
56015.86,21.2168,0.11,False,g,1
56074.02,20.8406,0.2,False,z,1
56074.02,20.9607,0.22,False,i,1
56074.02,21.1777,0.2,False,r,1
