mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
59870.038126,19.3873,,True,orange,AB,0,orange,6629.82
59872.291328,20.0686,,True,cyan,AB,0,cyan,5182.42
59873.892092,19.2715,,True,orange,AB,0,orange,6629.82
59876.169804,20.1715,,True,cyan,AB,0,cyan,5182.42
59880.274962,19.972,,True,cyan,AB,0,cyan,5182.42
59884.186979,19.2654,,True,orange,AB,0,orange,6629.82
59900.149393,19.218,0.251,False,orange,AB,1,orange,6629.82
59902.00127,19.0151,0.2101,False,cyan,AB,1,cyan,5182.42
59904.185336,18.7232,0.1562,False,orange,AB,1,orange,6629.82
59905.945108,18.4189,0.0523,False,cyan,AB,1,cyan,5182.42
59908.170231,18.371,0.1388,False,orange,AB,1,orange,6629.82
59909.902852,18.1563,0.0424,False,cyan,AB,1,cyan,5182.42
59912.138861,18.1757,0.1027,False,orange,AB,1,orange,6629.82
59913.890888,18.2971,0.1087,False,orange,AB,1,orange,6629.82
59916.187761,18.2665,0.1117,False,orange,AB,1,orange,6629.82
59917.923716,18.6604,0.2248,False,orange,AB,1,orange,6629.82
59920.181965,18.3154,0.1161,False,orange,AB,1,orange,6629.82
59921.885632,18.651,0.1706,False,orange,AB,1,orange,6629.82
59924.138314,18.5615,0.1068,False,orange,AB,1,orange,6629.82
59928.143309,18.6077,0.0513,False,cyan,AB,1,cyan,5182.42
59932.12076,18.9303,0.0679,False,cyan,AB,1,cyan,5182.42
59933.88358,19.1378,0.2271,False,orange,AB,1,orange,6629.82
59936.131804,19.0,0.0783,False,cyan,AB,1,cyan,5182.42
59940.108445,19.1595,0.1234,False,cyan,AB,1,cyan,5182.42
59941.853318,19.4098,0.2963,False,orange,AB,1,orange,6629.82
59945.847532,19.567,0.3557,False,orange,AB,1,orange,6629.82
59953.833766,19.0082,,True,orange,AB,0,orange,6629.82
59960.086194,19.0527,,True,orange,AB,0,orange,6629.82
59961.926497,19.7693,0.2956,False,cyan,AB,1,cyan,5182.42
59964.092628,18.9949,,True,orange,AB,0,orange,6629.82
59965.81831,19.9318,0.1654,False,cyan,AB,1,cyan,5182.42
59968.09267,19.0201,,True,orange,AB,0,orange,6629.82
59969.795541,20.1167,0.303,False,cyan,AB,1,cyan,5182.42
59972.048483,19.1802,,True,orange,AB,0,orange,6629.82
59977.790309,19.0197,,True,orange,AB,0,orange,6629.82
59984.043455,19.0219,,True,orange,AB,0,orange,6629.82
59986.799353,19.1414,,True,orange,AB,0,orange,6629.82
59988.028534,19.3766,,True,cyan,AB,0,cyan,5182.42
