mjd,mag,mag_err,UL,filter,detected
55281.312,20.306,inf,True,r,0
55313.424,20.9089,inf,True,r,0
55318.447349,21.295,inf,True,r,0
55323.462,21.2015,inf,True,r,0
55324.286127,21.5319,inf,True,r,0
55330.491,20.8932,inf,True,r,0
55338.279,20.9732,inf,True,r,0
55345.472,19.1213,0.1143,False,r,1
55346.286688,18.9213,0.0334,False,r,1
55347.44,18.7079,0.0171,False,r,1
55347.452468,18.7957,0.0305,False,i,1
55351.323361,18.3902,0.0169,False,r,1
55356.43996,18.4347,0.0217,False,r,1
55362.429512,18.5768,0.0209,False,r,1
55368.307812,18.6569,0.0268,False,r,1
55373.414775,18.7782,0.0454,False,r,1
55384.234137,18.991,0.0193,False,r,1
55390.234316,19.1514,0.0248,False,r,1
55396.216246,19.3598,0.0358,False,r,1
55401.218304,19.5362,0.0497,False,r,1
55406.368,19.2971,0.1121,False,i,1
55406.378,19.634,0.1345,False,r,1
55412.326703,19.6591,0.0817,False,r,1
55419.29,19.8259,0.1407,False,r,1
55423.206763,19.9354,0.049,False,r,1
55427.216399,20.017,0.0563,False,r,1
55430.274192,20.0529,0.0963,False,r,1
55434.161,19.9334,0.097,False,r,1
55464.204,20.5586,inf,True,r,0
