mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
57615.38,23.4192,0.3,False,i,AB,1,i,7774.3
57615.4,24.1623,0.13,False,r,AB,1,r,6370.44
57616.31,23.7745,0.1,False,z,AB,1,z,9154.88
57623.29,23.7792,0.1,False,i,AB,1,i,7774.3
57623.31,23.8623,0.13,False,r,AB,1,r,6370.44
57623.34,23.6445,0.07,False,z,AB,1,z,9154.88
57627.41,24.1223,0.18,False,r,AB,1,r,6370.44
57629.27,23.5392,0.05,False,i,AB,1,i,7774.3
57629.39,25.0313,0.17,False,g,AB,1,g,4769.9
57630.27,23.3645,0.05,False,z,AB,1,z,9154.88
57633.3,23.8223,0.06,False,r,AB,1,r,6370.44
57633.36,25.1513,0.27,False,g,AB,1,g,4769.9
57633.38,23.4992,0.08,False,i,AB,1,i,7774.3
57634.27,23.4692,0.06,False,i,AB,1,i,7774.3
57634.3,23.2645,0.06,False,z,AB,1,z,9154.88
57637.3,24.9313,0.22,False,g,AB,1,g,4769.9
57637.31,23.6423,0.07,False,r,AB,1,r,6370.44
57638.24,23.3192,0.05,False,i,AB,1,i,7774.3
57638.32,23.1645,0.05,False,z,AB,1,z,9154.88
57643.3,23.5223,0.07,False,r,AB,1,r,6370.44
57643.33,23.1892,0.07,False,i,AB,1,i,7774.3
57644.24,23.1792,0.13,False,i,AB,1,i,7774.3
57644.27,22.9145,0.1,False,z,AB,1,z,9154.88
57645.38,24.4313,0.13,False,g,AB,1,g,4769.9
57645.39,23.4723,0.04,False,r,AB,1,r,6370.44
57653.32,24.9513,0.34,False,g,AB,1,g,4769.9
57653.33,23.1723,0.04,False,r,AB,1,r,6370.44
57653.38,22.9392,0.03,False,i,AB,1,i,7774.3
57654.2,22.9145,0.04,False,z,AB,1,z,9154.88
57660.22,24.3713,0.11,False,g,AB,1,g,4769.9
57660.23,23.0723,0.02,False,r,AB,1,r,6370.44
57660.25,22.8592,0.02,False,i,AB,1,i,7774.3
57660.33,22.7945,0.03,False,z,AB,1,z,9154.88
57666.2,24.4413,0.11,False,g,AB,1,g,4769.9
57666.33,23.1323,0.07,False,r,AB,1,r,6370.44
57666.35,22.7492,0.03,False,i,AB,1,i,7774.3
57668.14,22.6845,0.05,False,z,AB,1,z,9154.88
57673.27,22.6645,0.04,False,z,AB,1,z,9154.88
57680.33,23.0023,0.14,False,r,AB,1,r,6370.44
57681.12,23.6413,0.24,False,g,AB,1,g,4769.9
57681.14,22.5392,0.15,False,i,AB,1,i,7774.3
57681.33,22.6545,0.04,False,z,AB,1,z,9154.88
57682.11,22.8223,0.05,False,r,AB,1,r,6370.44
57683.18,22.6892,0.03,False,i,AB,1,i,7774.3
57686.29,24.6713,0.2,False,g,AB,1,g,4769.9
57686.33,22.7145,0.05,False,z,AB,1,z,9154.88
57686.36,22.9923,0.04,False,r,AB,1,r,6370.44
57687.19,24.7913,0.21,False,g,AB,1,g,4769.9
57687.21,22.7292,0.05,False,i,AB,1,i,7774.3
57694.13,23.1123,0.03,False,r,AB,1,r,6370.44
57694.16,22.6545,0.04,False,z,AB,1,z,9154.88
57694.26,24.7613,0.2,False,g,AB,1,g,4769.9
57694.28,22.7892,0.06,False,i,AB,1,i,7774.3
57701.13,24.8813,0.29,False,g,AB,1,g,4769.9
57701.14,23.3223,0.04,False,r,AB,1,r,6370.44
57701.16,22.8692,0.03,False,i,AB,1,i,7774.3
57701.2,22.6845,0.03,False,z,AB,1,z,9154.88
57708.17,22.9192,0.05,False,i,AB,1,i,7774.3
57708.21,22.7245,0.04,False,z,AB,1,z,9154.88
57709.09,23.3423,0.07,False,r,AB,1,r,6370.44
57714.11,22.8892,0.04,False,i,AB,1,i,7774.3
57714.14,22.7445,0.04,False,z,AB,1,z,9154.88
57714.28,23.4123,0.07,False,r,AB,1,r,6370.44
57716.23,25.3613,0.36,False,g,AB,1,g,4769.9
57718.25,23.4623,0.04,False,r,AB,1,r,6370.44
57718.27,22.9892,0.03,False,i,AB,1,i,7774.3
57719.08,22.6945,0.03,False,z,AB,1,z,9154.88
57720.21,25.0313,0.29,False,g,AB,1,g,4769.9
57722.29,23.4723,0.04,False,r,AB,1,r,6370.44
57723.1,22.9892,0.06,False,i,AB,1,i,7774.3
57723.17,22.7145,0.03,False,z,AB,1,z,9154.88
57725.05,25.5513,0.36,False,g,AB,1,g,4769.9
57729.04,23.4823,0.06,False,r,AB,1,r,6370.44
57730.12,22.9192,0.04,False,i,AB,1,i,7774.3
57730.16,22.6845,0.04,False,z,AB,1,z,9154.88
57739.13,23.4523,0.06,False,r,AB,1,r,6370.44
57739.2,22.8892,0.04,False,i,AB,1,i,7774.3
57739.24,22.5245,0.03,False,z,AB,1,z,9154.88
57746.07,25.4413,0.19,False,g,AB,1,g,4769.9
57746.08,23.3623,0.03,False,r,AB,1,r,6370.44
57746.11,22.8592,0.02,False,i,AB,1,i,7774.3
57746.14,22.5845,0.02,False,z,AB,1,z,9154.88
57750.15,25.0113,0.21,False,g,AB,1,g,4769.9
57750.17,23.2123,0.04,False,r,AB,1,r,6370.44
57750.18,22.7792,0.05,False,i,AB,1,i,7774.3
57751.08,22.7692,0.03,False,i,AB,1,i,7774.3
57751.12,22.4945,0.03,False,z,AB,1,z,9154.88
57756.12,25.2713,0.3,False,g,AB,1,g,4769.9
57756.15,23.2123,0.03,False,r,AB,1,r,6370.44
57756.17,22.7592,0.03,False,i,AB,1,i,7774.3
57757.14,22.4945,0.03,False,z,AB,1,z,9154.88
57763.1,23.1123,0.06,False,r,AB,1,r,6370.44
57763.12,22.6592,0.03,False,i,AB,1,i,7774.3
57770.08,24.9013,0.15,False,g,AB,1,g,4769.9
57770.11,22.4045,0.02,False,z,AB,1,z,9154.88
57771.09,23.0823,0.02,False,r,AB,1,r,6370.44
57771.11,22.6092,0.02,False,i,AB,1,i,7774.3
57775.15,24.7513,0.23,False,g,AB,1,g,4769.9
57778.1,22.4345,0.03,False,z,AB,1,z,9154.88
57778.14,23.0923,0.04,False,r,AB,1,r,6370.44
57779.1,22.6192,0.03,False,i,AB,1,i,7774.3
57779.12,24.6513,0.19,False,g,AB,1,g,4769.9
57782.09,23.2023,0.04,False,r,AB,1,r,6370.44
57782.12,22.4745,0.03,False,z,AB,1,z,9154.88
57784.05,25.4813,0.33,False,g,AB,1,g,4769.9
57784.07,22.7392,0.03,False,i,AB,1,i,7774.3
57789.07,23.2823,0.16,False,r,AB,1,r,6370.44
57789.1,22.5445,0.04,False,z,AB,1,z,9154.88
57791.08,22.7792,0.05,False,i,AB,1,i,7774.3
57800.07,23.4123,0.07,False,r,AB,1,r,6370.44
57803.05,22.9492,0.03,False,i,AB,1,i,7774.3
