mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
57627.4,23.337,0.22,False,i,AB,1,i,7774.3
57633.32,23.4228,0.21,False,z,AB,1,z,9154.88
57633.32,23.667,0.21,False,i,AB,1,i,7774.3
57637.34,23.457,0.19,False,i,AB,1,i,7774.3
57637.34,23.9594,0.21,False,r,AB,1,r,6370.44
57637.35,23.7128,0.27,False,z,AB,1,z,9154.88
57643.22,23.3794,0.32,False,r,AB,1,r,6370.44
57644.22,23.1728,0.35,False,z,AB,1,z,9154.88
57645.26,23.277,0.2,False,i,AB,1,i,7774.3
57645.27,23.4628,0.22,False,z,AB,1,z,9154.88
57653.36,23.357,0.14,False,i,AB,1,i,7774.3
57653.37,23.4028,0.16,False,z,AB,1,z,9154.88
57660.28,23.117,0.09,False,i,AB,1,i,7774.3
57660.28,24.0094,0.17,False,r,AB,1,r,6370.44
57660.29,22.9628,0.11,False,z,AB,1,z,9154.88
57667.16,22.957,0.1,False,i,AB,1,i,7774.3
57667.16,23.1528,0.16,False,z,AB,1,z,9154.88
57667.16,24.1394,0.21,False,r,AB,1,r,6370.44
57680.13,22.5128,0.35,False,z,AB,1,z,9154.88
57680.13,22.747,0.35,False,i,AB,1,i,7774.3
57681.15,22.7194,0.3,False,r,AB,1,r,6370.44
57681.16,22.8728,0.27,False,z,AB,1,z,9154.88
57683.11,22.607,0.16,False,i,AB,1,i,7774.3
57683.12,22.6928,0.22,False,z,AB,1,z,9154.88
57686.11,22.757,0.16,False,i,AB,1,i,7774.3
57686.11,23.0294,0.13,False,r,AB,1,r,6370.44
57686.12,22.5728,0.17,False,z,AB,1,z,9154.88
57694.19,22.7328,0.11,False,z,AB,1,z,9154.88
57694.19,22.757,0.09,False,i,AB,1,i,7774.3
57694.19,23.4494,0.11,False,r,AB,1,r,6370.44
57701.23,22.5628,0.07,False,z,AB,1,z,9154.88
57701.23,22.607,0.06,False,i,AB,1,i,7774.3
57701.23,23.3894,0.11,False,r,AB,1,r,6370.44
57708.23,23.2594,0.24,False,r,AB,1,r,6370.44
57708.24,22.417,0.1,False,i,AB,1,i,7774.3
57708.24,22.5528,0.1,False,z,AB,1,z,9154.88
57709.1,22.697,0.11,False,i,AB,1,i,7774.3
57709.1,23.0594,0.17,False,r,AB,1,r,6370.44
57709.11,22.5828,0.09,False,z,AB,1,z,9154.88
57714.26,23.4294,0.17,False,r,AB,1,r,6370.44
57714.27,22.687,0.1,False,i,AB,1,i,7774.3
57714.27,22.9128,0.17,False,z,AB,1,z,9154.88
57718.23,22.5428,0.1,False,z,AB,1,z,9154.88
57718.23,22.637,0.08,False,i,AB,1,i,7774.3
57718.23,23.0894,0.09,False,r,AB,1,r,6370.44
57720.05,22.637,0.07,False,i,AB,1,i,7774.3
57720.05,23.1694,0.1,False,r,AB,1,r,6370.44
57720.06,22.5828,0.08,False,z,AB,1,z,9154.88
57725.06,22.677,0.09,False,i,AB,1,i,7774.3
57725.06,23.3894,0.11,False,r,AB,1,r,6370.44
57725.07,22.7228,0.12,False,z,AB,1,z,9154.88
57730.21,23.6594,0.23,False,r,AB,1,r,6370.44
57730.22,22.647,0.12,False,i,AB,1,i,7774.3
57730.22,22.7828,0.16,False,z,AB,1,z,9154.88
57740.11,23.8694,0.13,False,r,AB,1,r,6370.44
57740.12,22.7728,0.07,False,z,AB,1,z,9154.88
57740.12,22.897,0.07,False,i,AB,1,i,7774.3
57747.12,23.0328,0.11,False,z,AB,1,z,9154.88
57747.12,23.067,0.09,False,i,AB,1,i,7774.3
57747.12,24.1594,0.17,False,r,AB,1,r,6370.44
57751.15,22.9028,0.13,False,z,AB,1,z,9154.88
57751.15,22.997,0.11,False,i,AB,1,i,7774.3
57751.15,24.4494,0.29,False,r,AB,1,r,6370.44
57756.19,23.1028,0.17,False,z,AB,1,z,9154.88
57756.19,23.427,0.17,False,i,AB,1,i,7774.3
57756.19,24.1094,0.23,False,r,AB,1,r,6370.44
57761.06,23.2928,0.24,False,z,AB,1,z,9154.88
57761.06,23.507,0.35,False,i,AB,1,i,7774.3
57770.15,23.437,0.17,False,i,AB,1,i,7774.3
57770.16,23.1928,0.16,False,z,AB,1,z,9154.88
57778.13,23.3028,0.21,False,z,AB,1,z,9154.88
57778.13,23.707,0.23,False,i,AB,1,i,7774.3
57784.04,23.5628,0.23,False,z,AB,1,z,9154.88
57784.04,23.757,0.22,False,i,AB,1,i,7774.3
57791.1,23.347,0.18,False,i,AB,1,i,7774.3
57791.1,23.8728,0.33,False,z,AB,1,z,9154.88
57800.1,23.777,0.28,False,i,AB,1,i,7774.3
57800.11,23.2728,0.21,False,z,AB,1,z,9154.88
