object_id,mjd,mag,mag_err,UL,filter,System,detected
2005ap,53386.5,19.438,,True,R,Vega,0
2005ap,53387.5,19.138,,True,R,Vega,0
2005ap,53389.5,18.948,,True,R,Vega,0
2005ap,53408.4,19.688,,True,R,Vega,0
2005ap,53415.4,18.648,,True,R,Vega,0
2005ap,53430.2,18.628,,True,R,Vega,0
2005ap,53432.3,18.498,0.11,False,R,Vega,1
2005ap,53433.3,18.258,0.1,False,R,Vega,1
2005ap,53437.5,18.278,0.06,False,R,Vega,1
2005ap,53438.5,18.348,0.17,False,R,Vega,1
2005ap,53439.4,18.138,0.06,False,R,Vega,1
2005ap,53440.4,18.198,0.09,False,R,Vega,1
2005ap,53441.3,18.158,0.07,False,R,Vega,1
2005ap,53444.4,18.268,0.16,False,R,Vega,1
2005ap,53446.9,18.358,0.09,False,R,Vega,1
2005ap,53447.3,18.368,0.13,False,R,Vega,1
2005ap,53448.3,18.348,0.16,False,R,Vega,1
2005ap,53460.372,19.5093,0.3253,False,V,Vega,1
2005ap,53460.374,20.0374,0.6493,False,B,Vega,1
2005ap,53460.3763,19.1826,0.5367,False,I,Vega,1
2005ap,53460.7,18.518,0.18,False,R,Vega,1
2005ap,53462.5,18.698,0.11,False,R,Vega,1
2005ap,53463.3,19.068,0.16,False,R,Vega,1
2005ap,53467.1,19.028,0.24,False,R,Vega,1
2005ap,53467.3435,19.9893,0.377,False,V,Vega,1
2005ap,53467.3458,21.1074,1.2036,False,B,Vega,1
2005ap,53467.3482,19.6626,0.4629,False,I,Vega,1
2005ap,53470.1,18.958,0.19,False,R,Vega,1
2005ap,53472.5,19.098,0.19,False,R,Vega,1
2005ap,53474.3166,20.6593,0.5104,False,V,Vega,1
2005ap,53474.3203,19.4926,0.8935,False,I,Vega,1
2005ap,53475.2,19.398,,True,R,Vega,0
2005ap,53482.1713,20.5693,0.9579,False,V,Vega,1
2005ap,53482.1845,19.9626,1.12,False,I,Vega,1
2005ap,53491.5,19.278,,True,R,Vega,0
2005ap,53503.7,19.088,,True,R,Vega,0
2005ap,53506.2643,23.0993,1.2985,False,V,Vega,1
2005ap,53506.2767,21.1226,0.9796,False,I,Vega,1
2005ap,53509.2681,23.4574,1.2922,False,B,Vega,1
2005ap,53509.2754,21.5026,1.0203,False,I,Vega,1
