mjd,mag,mag_err,UL,Filter,System,detected,Filter_can,Cenwave
57325.20824,21.8727,,True,I,Vega,0,I,7931.81
57334.21148,21.0077,0.21,False,I,Vega,1,I,7931.81
57339.21605,20.7007,0.128,False,I,Vega,1,I,7931.81
57344.24253,20.3297,0.103,False,I,Vega,1,I,7931.81
57353.32366,19.8997,0.153,False,I,Vega,1,I,7931.81
57356.32482,19.7957,0.066,False,I,Vega,1,I,7931.81
57364.22352,19.8137,0.076,False,I,Vega,1,I,7931.81
57367.26265,19.7667,0.06,False,I,Vega,1,I,7931.81
57373.19998,19.7717,0.074,False,I,Vega,1,I,7931.81
57378.27624,19.7337,0.079,False,I,Vega,1,I,7931.81
57383.18592,19.7267,0.082,False,I,Vega,1,I,7931.81
57387.20207,19.8267,0.063,False,I,Vega,1,I,7931.81
57395.18018,20.0067,0.122,False,I,Vega,1,I,7931.81
57400.17519,19.8967,0.076,False,I,Vega,1,I,7931.81
57407.16514,20.0747,0.107,False,I,Vega,1,I,7931.81
57409.14484,20.2637,0.141,False,I,Vega,1,I,7931.81
57411.10304,20.6017,0.281,False,I,Vega,1,I,7931.81
57412.15532,20.2427,0.15,False,I,Vega,1,I,7931.81
57415.16045,20.1527,0.108,False,I,Vega,1,I,7931.81
57417.10055,20.1637,0.073,False,I,Vega,1,I,7931.81
57424.15214,20.4367,0.154,False,I,Vega,1,I,7931.81
57425.13789,20.4627,0.14,False,I,Vega,1,I,7931.81
57427.14954,20.0677,0.088,False,I,Vega,1,I,7931.81
57431.1143,20.1377,0.109,False,I,Vega,1,I,7931.81
57432.13027,20.2917,0.106,False,I,Vega,1,I,7931.81
57434.10637,20.2167,0.1,False,I,Vega,1,I,7931.81
57436.10298,20.3517,0.111,False,I,Vega,1,I,7931.81
57438.11699,20.3887,0.144,False,I,Vega,1,I,7931.81
57440.1086,19.8007,0.085,False,I,Vega,1,I,7931.81
57441.10689,20.3067,0.18,False,I,Vega,1,I,7931.81
